Region,Constituency,Station,Registered,,,,,,,,,,,,,,,
Brikama,Foni Kansala,Dobong Bantaba,690,,,,,,,,,,,,,,,
Brikama,Foni Kansala,Jekesi Dandoni Bantaba,556,,,,,,,,,,,,,,,
Brikama,Foni Kansala,Kampant Anglican Church,1385,,,,,,,,,,,,,,,
Brikama,Foni Kansala,Kanfendi Bantaba,883,,,,,,,,,,,,,,,
Brikama,Foni Kansala,Kanilai Pri. Sch.,2495,,,,,,,,,,,,,,,
Brikama,Foni Kansala,Sanghajorr Health Centre,925,,,,,,,,,,,,,,,
Brikama,Kombo East,Basori Bantaba,2378,,,,,,,,,,,,,,,
Brikama,Kombo East,Bonto Kuta Jalokoto Bantaba,671,,,,,,,,,,,,,,,
Brikama,Kombo East,Faraba Banta Banatba,2204,,,,,,,,,,,,,,,
Brikama,Kombo East,Faraba Sutu Ccf .,748,,,,,,,,,,,,,,,
Brikama,Kombo East,Giboro Kuta Bantaba,3086,,,,,,,,,,,,,,,
Brikama,Kombo East,Kafuta Bantaba,3040,,,,,,,,,,,,,,,
Brikama,Kombo East,Kairaba (Faraba Manokang) Bantaba,1534,,,,,,,,,,,,,,,
Brikama,Kombo East,Kuloro Bantaba,2573,,,,,,,,,,,,,,,
Brikama,Kombo East,Mandinaba Bantaba,1829,,,,,,,,,,,,,,,
Brikama,Kombo East,Medina Sokotoi Bantaba,1137,,,,,,,,,,,,,,,
Brikama,Kombo East,Omorto Skill Centre,425,,,,,,,,,,,,,,,
Brikama,Kombo East,Pirang Bantaba,1599,,,,,,,,,,,,,,,
Brikama,Kombo East,Pirang Berending Bantaba,1719,,,,,,,,,,,,,,,
Brikama,Kombo East,Pirang Berending Darusalam,666,,,,,,,,,,,,,,,
Brikama,Kombo East,Sohm Health Centre,979,,,,,,,,,,,,,,,
Brikama,Kombo East,Tuba Kuta Bantaba,1055,,,,,,,,,,,,,,,
Brikama,Kombo South,Banyaka Bantaba,1659,,,,,,,,,,,,,,,
Brikama,Kombo South,Batokunku ( Near Nursery Sch.),205,,,,,,,,,,,,,,,
Brikama,Kombo South,Batokunku Skill Centre (Near Mosque),1658,,,,,,,,,,,,,,,
Brikama,Kombo South,Berending Bantaba,1208,,,,,,,,,,,,,,,
Brikama,Kombo South,Farato (Sanchaba) Outside Alkalo'S Compound,929,,,,,,,,,,,,,,,
Brikama,Kombo South,Farato Mosque,3806,,,,,,,,,,,,,,,
Brikama,Kombo South,Farato Nema Mosque,2843,,,,,,,,,,,,,,,
Brikama,Kombo South,Farato New Town Mosque,1079,,,,,,,,,,,,,,,
Brikama,Kombo South,Gunjur (By The Pri Sch),4248,,,,,,,,,,,,,,,
Brikama,Kombo South,Gunjur Health Centre,6593,,,,,,,,,,,,,,,
Brikama,Kombo South,Gunjur Kunkujang Bantaba,1931,,,,,,,,,,,,,,,
Brikama,Kombo South,Jambanjelly Market,3839,,,,,,,,,,,,,,,
Brikama,Kombo South,Jambur Bantaba,3359,,,,,,,,,,,,,,,
Brikama,Kombo South,Kartong Health Centre,2548,,,,,,,,,,,,,,,
Brikama,Kombo South,Kunkujang Mariama Bantaba,1185,,,,,,,,,,,,,,,
Brikama,Kombo South,Medina Salam (Centre),1407,,,,,,,,,,,,,,,
Brikama,Kombo South,Nyofelleh Bantaba,1542,,,,,,,,,,,,,,,
Brikama,Kombo South,Rumba Bantaba,787,,,,,,,,,,,,,,,
Brikama,Kombo South,Sanyang Bantaba,6902,,,,,,,,,,,,,,,
Brikama,Kombo South,Siffoe Ccf,3326,,,,,,,,,,,,,,,
Brikama,Kombo South,Tanji B,3973,,,,,,,,,,,,,,,
Brikama,Kombo South,Tanji Comm. Centre,3137,,,,,,,,,,,,,,,
Brikama,Kombo South,Tujereng (Around Sen Sec Sch),1400,,,,,,,,,,,,,,,
Brikama,Kombo South,Tujereng Bantaba,2835,,,,,,,,,,,,,,,
Brikama,Old Yundum,Jabang Mosque,3637,,,,,,,,,,,,,,,
Brikama,Old Yundum,Kunkujang Keita Yaa  Central Mosque,4609,,,,,,,,,,,,,,,
Brikama,Old Yundum,Latriya Health Centre,1296,,,,,,,,,,,,,,,
Brikama,Old Yundum,Mariama Kunda Bantaba,2567,,,,,,,,,,,,,,,
Brikama,Old Yundum,Medina Baliya (Sinchu Baliya ) Mosque.,3552,,,,,,,,,,,,,,,
Brikama,Old Yundum,Medina Sey Kunda (Sinchu Alagi) 2,3627,,,,,,,,,,,,,,,
Brikama,Old Yundum,Medina Sey Kunda (Sinchu Alagi) Bantaba,4444,,,,,,,,,,,,,,,
Brikama,Old Yundum,Nema Nasir,1652,,,,,,,,,,,,,,,
Brikama,Old Yundum,Nemakunku,6766,,,,,,,,,,,,,,,
Brikama,Old Yundum,Old Yundum Bantaba,3795,,,,,,,,,,,,,,,
Brikama,Old Yundum,Sinchu Sorrie Nursery Sch.,3895,,,,,,,,,,,,,,,
Brikama,Old Yundum,Tawuto Bantaba,1663,,,,,,,,,,,,,,,
Brikama,Old Yundum,Wellingara  Red Cross Bantaba,2946,,,,,,,,,,,,,,,
Brikama,Old Yundum,Wellingara (Behind Jah Oil Petrol Station),4029,,,,,,,,,,,,,,,
Brikama,Old Yundum,Youna Bantaba,2028,,,,,,,,,,,,,,,
Brikama,Sanneh Mentereng,Kerr Serign (Hamdalaye) Central Mosque,2788,,,,,,,,,,,,,,,
Brikama,Sanneh Mentereng,Bijilo Bantaba,2642,,,,,,,,,,,,,,,
Brikama,Sanneh Mentereng,Brufut 2,4108,,,,,,,,,,,,,,,
Brikama,Sanneh Mentereng,Brufut Father'S Sch. (Dutabakoto),4651,,,,,,,,,,,,,,,
Brikama,Sanneh Mentereng,Brufut Pri. Sch.  (Behind Market),4231,,,,,,,,,,,,,,,
Brikama,Sanneh Mentereng,Brusubi Estate Phase Two 2,1331,,,,,,,,,,,,,,,
Brikama,Sanneh Mentereng,Brusubi Estate Sample House,2342,,,,,,,,,,,,,,,
Brikama,Sanneh Mentereng,Mediana Mosque,3174,,,,,,,,,,,,,,,
Brikama,Sanneh Mentereng,Salagi (Opp. Nawec Water Plant),1861,,,,,,,,,,,,,,,
Brikama,Sanneh Mentereng,Sanchaba Sulay Jobe (Outside Alkalo'S Comp.),2385,,,,,,,,,,,,,,,
Brikama,Sanneh Mentereng,Sanchaba Sulay Jobe (Skill Centre),1878,,,,,,,,,,,,,,,
Brikama,Sanneh Mentereng,Sukuta Arabic Sch.,3808,,,,,,,,,,,,,,,
Brikama,Sanneh Mentereng,Sukuta Cinema Hall,5337,,,,,,,,,,,,,,,
Brikama,Sanneh Mentereng,Sukuta Jamisa ( By The Metal Workshop),1495,,,,,,,,,,,,,,,
Brikama,Sanneh Mentereng,Sukuta Nema Bani Israel Mosque,2386,,,,,,,,,,,,,,,
Brikama,Sanneh Mentereng,Sukuta Sec Sch (Library),2350,,,,,,,,,,,,,,,
Brikama,Sanneh Mentereng,Sukuta Talaba Koto ( By The Central Mosque),2215,,,,,,,,,,,,,,,
Brikama,Sanneh Mentereng,Sukuta Tumbungto Bantaba,388,,,,,,,,,,,,,,,
Brikama,Sanneh Mentereng,Tranquil Mosque,1548,,,,,,,,,,,,,,,
Brikama,Sanneh Mentereng,Wuling Kama Opp. Alkalo'S Comp.,2346,,,,,,,,,,,,,,,
Janjanbureh,Janjanbureh,Janjanbureh (Mccarhty),1600,,,,,,,,,,,,,,,
Janjanbureh,Lower Fulladu West,Boyram Denton,1287,,,,,,,,,,,,,,,
Janjanbureh,Lower Fulladu West,Brikamaba,1947,,,,,,,,,,,,,,,
Janjanbureh,Lower Fulladu West,Brikmanding,799,,,,,,,,,,,,,,,
Janjanbureh,Lower Fulladu West,Dasilameh,1610,,,,,,,,,,,,,,,
Janjanbureh,Lower Fulladu West,Faraba,860,,,,,,,,,,,,,,,
Janjanbureh,Lower Fulladu West,Fass Abdou,1229,,,,,,,,,,,,,,,
Janjanbureh,Lower Fulladu West,Fulabantang,1640,,,,,,,,,,,,,,,
Janjanbureh,Lower Fulladu West,Gidda,974,,,,,,,,,,,,,,,
Janjanbureh,Lower Fulladu West,Jahally,1280,,,,,,,,,,,,,,,
Janjanbureh,Lower Fulladu West,Kerewan Fula (Kerewan Samba Sira),1171,,,,,,,,,,,,,,,
Janjanbureh,Lower Fulladu West,Kerewan Mandinka,445,,,,,,,,,,,,,,,
Janjanbureh,Lower Fulladu West,Madina Mfally,1515,,,,,,,,,,,,,,,
Janjanbureh,Lower Fulladu West,Misera Joben,1218,,,,,,,,,,,,,,,
Janjanbureh,Lower Fulladu West,Patcharr,714,,,,,,,,,,,,,,,
Janjanbureh,Lower Fulladu West,Sankulay Kunda,292,,,,,,,,,,,,,,,
Janjanbureh,Lower Fulladu West,Sare Malang,782,,,,,,,,,,,,,,,
Janjanbureh,Lower Fulladu West,Sare Ngai-Tabanding Ngai,723,,,,,,,,,,,,,,,
Janjanbureh,Lower Fulladu West,Saruja,1063,,,,,,,,,,,,,,,
Janjanbureh,Lower Fulladu West,Taifa Chendou (Taifa Saikou),842,,,,,,,,,,,,,,,
Janjanbureh,Lower Saloum,Ballanghar Jalato,689,,,,,,,,,,,,,,,
Janjanbureh,Lower Saloum,Ballanghar Kerr Layin.,818,,,,,,,,,,,,,,,
Janjanbureh,Lower Saloum,Ballanghar.Kerr Nderri,1036,,,,,,,,,,,,,,,
Janjanbureh,Lower Saloum,Gengi Wollof,860,,,,,,,,,,,,,,,
Janjanbureh,Lower Saloum,Jahour Mandinka,520,,,,,,,,,,,,,,,
Janjanbureh,Lower Saloum,Jimbala Felungo,1028,,,,,,,,,,,,,,,
Janjanbureh,Lower Saloum,Kaur Janneh Kunda,889,,,,,,,,,,,,,,,
Janjanbureh,Lower Saloum,Kaur Wharf Town,2229,,,,,,,,,,,,,,,
Janjanbureh,Lower Saloum,Simbara Khai,723,,,,,,,,,,,,,,,
Janjanbureh,Niamina Dankunku,Baro Kunda,923,,,,,,,,,,,,,,,
